day,time,number
Mon,1,5136
Mon,1,5234
Mon,1,5335
Mon,1,5336
Mon,1,5533
Mon,1,5534
Mon,1,6409
Mon,1,6417
Mon,1,6425
Mon,2,5133
Mon,2,5134
Mon,2,5135
Mon,2,5136
Mon,2,5137
Mon,2,5138
Mon,2,5235
Mon,2,5236
Mon,2,5334
Mon,2,5335
Mon,2,5336
Mon,2,5534
Mon,2,6309
Mon,2,6310
Mon,2,6317
Mon,2,6318
Mon,2,6325
Mon,2,6326
Mon,2,6405
Mon,2,6409
Mon,2,6417
Mon,2,6421
Mon,2,6425
Mon,3,5133
Mon,3,5134
Mon,3,5233
Mon,3,5234
Mon,3,5235
Mon,3,5235
Mon,3,5236
Mon,3,5333
Mon,3,5334
Mon,3,5335
Mon,3,5336
Mon,3,5534
Mon,3,6210
Mon,3,6301
Mon,3,6302
Mon,3,6309
Mon,3,6310
Mon,3,6318
Mon,3,6325
Mon,3,6402
Mon,3,6405
Mon,3,6410
Mon,3,6417
Mon,3,6418
Mon,3,6421
Mon,4,5134
Mon,4,5135
Mon,4,5136
Mon,4,5137
Mon,4,5233
Mon,4,5234
Mon,4,5235
Mon,4,5333
Mon,4,5334
Mon,4,5335
Mon,4,5336
Mon,4,5533
Mon,4,5534
Mon,4,6210
Mon,4,6302
Mon,4,6310
Mon,4,6317
Mon,4,6325
Mon,4,6402
Mon,4,6405
Mon,4,6413
Mon,4,6418
Mon,4,6421
Mon,4,6426
Mon,4,6429
Mon,5,5134
Mon,5,5136
Mon,5,5235
Mon,5,5336
Mon,5,6210
Mon,5,6302
Mon,5,6310
Mon,5,6317
Mon,5,6318
Mon,5,6409
Mon,5,6413
Mon,5,6417
Mon,5,6418
Mon,5,6421
Mon,5,6425
Tue,1,5133
Tue,1,5135
Tue,1,5137
Tue,1,5138
Tue,1,5235
Tue,1,5533
Tue,1,5534
Tue,1,6301
Tue,1,6309
Tue,1,6326
Tue,1,6401
Tue,1,6402
Tue,1,6405
Tue,1,6410
Tue,1,6417
Tue,1,6429
Tue,2,5133
Tue,2,5134
Tue,2,5135
Tue,2,5136
Tue,2,5137
Tue,2,5138
Tue,2,5233
Tue,2,5234
Tue,2,5235
Tue,2,5236
Tue,2,5333
Tue,2,5334
Tue,2,5335
Tue,2,5336
Tue,2,5534
Tue,2,6209
Tue,2,6210
Tue,2,6301
Tue,2,6302
Tue,2,6310
Tue,2,6325
Tue,2,6326
Tue,2,6401
Tue,2,6410
Tue,2,6417
Tue,2,6418
Tue,3,5133
Tue,3,5134
Tue,3,5135
Tue,3,5136
Tue,3,5137
Tue,3,5138
Tue,3,5234
Tue,3,5235
Tue,3,5236
Tue,3,5333
Tue,3,5334
Tue,3,5335
Tue,3,5336
Tue,3,5534
Tue,3,6209
Tue,3,6210
Tue,3,6309
Tue,3,6310
Tue,3,6317
Tue,3,6318
Tue,3,6325
Tue,3,6326
Tue,3,6401
Tue,3,6402
Tue,3,6405
Tue,3,6410
Tue,3,6417
Tue,3,6418
Tue,3,6421
Tue,3,6425
Tue,3,6426
Tue,3,6429
Tue,4,5133
Tue,4,5134
Tue,4,5136
Tue,4,5137
Tue,4,5138
Tue,4,5233
Tue,4,5235
Tue,4,5236
Tue,4,5333
Tue,4,5334
Tue,4,5335
Tue,4,5336
Tue,4,5534
Tue,4,6210
Tue,4,6301
Tue,4,6309
Tue,4,6317
Tue,4,6318
Tue,4,6325
Tue,4,6326
Tue,4,6402
Tue,4,6405
Tue,4,6409
Tue,4,6410
Tue,4,6413
Tue,4,6417
Tue,4,6418
Tue,4,6421
Tue,4,6425
Tue,4,6426
Tue,5,5233
Tue,5,5333
Tue,5,5335
Tue,5,5533
Tue,5,6210
Tue,5,6301
Tue,5,6302
Tue,5,6310
Tue,5,6317
Tue,5,6325
Tue,5,6326
Tue,5,6401
Tue,5,6402
Tue,5,6405
Tue,5,6409
Tue,5,6410
Tue,5,6426
Tue,5,6429
Wed,1,5138
Wed,1,5233
Wed,1,5235
Wed,1,5335
Wed,1,5533
Wed,1,6209
Wed,1,6210
Wed,1,6310
Wed,1,6326
Wed,1,6402
Wed,1,6409
Wed,1,6410
Wed,1,6418
Wed,1,6425
Wed,2,5133
Wed,2,5135
Wed,2,5233
Wed,2,5234
Wed,2,5235
Wed,2,5333
Wed,2,5334
Wed,2,5335
Wed,2,5336
Wed,2,5533
Wed,2,6209
Wed,2,6310
Wed,2,6317
Wed,2,6318
Wed,2,6326
Wed,2,6402
Wed,2,6409
Wed,2,6410
Wed,2,6418
Wed,2,6426
Wed,3,5133
Wed,3,5134
Wed,3,5135
Wed,3,5136
Wed,3,5137
Wed,3,5138
Wed,3,5236
Wed,3,5335
Wed,3,5336
Wed,3,5534
Wed,3,6210
Wed,3,6301
Wed,3,6302
Wed,3,6310
Wed,3,6318
Wed,3,6325
Wed,3,6401
Wed,3,6402
Wed,3,6418
Wed,3,6421
Wed,3,6426
Wed,4,2902
Wed,4,5133
Wed,4,5135
Wed,4,5137
Wed,4,5138
Wed,4,5233
Wed,4,5234
Wed,4,5235
Wed,4,5333
Wed,4,5334
Wed,4,5335
Wed,4,5336
Wed,4,5533
Wed,4,6209
Wed,4,6210
Wed,4,6301
Wed,4,6302
Wed,4,6309
Wed,4,6317
Wed,4,6318
Wed,4,6405
Wed,4,6409
Wed,4,6410
Wed,4,6413
Wed,4,6421
Wed,4,6426
Wed,5,5234
Wed,5,5333
Wed,5,5533
Wed,5,6210
Wed,5,6309
Wed,5,6317
Wed,5,6401
Wed,5,6410
Wed,5,6417
Wed,5,6418
Wed,5,6426
Thr,1,2215
Thr,1,5233
Thr,1,5234
Thr,1,5235
Thr,1,5236
Thr,1,5334
Thr,1,5335
Thr,1,5336
Thr,1,6209
Thr,1,6318
Thr,1,6325
Thr,1,6402
Thr,1,6409
Thr,1,6417
Thr,1,6429
Thr,2,5133
Thr,2,5135
Thr,2,5136
Thr,2,5137
Thr,2,5138
Thr,2,5233
Thr,2,5234
Thr,2,5236
Thr,2,5334
Thr,2,5335
Thr,2,5336
Thr,2,5533
Thr,2,5534
Thr,2,6209
Thr,2,6210
Thr,2,6301
Thr,2,6302
Thr,2,6309
Thr,2,6310
Thr,2,6317
Thr,2,6318
Thr,2,6325
Thr,2,6402
Thr,2,6405
Thr,2,6409
Thr,2,6410
Thr,2,6413
Thr,2,6417
Thr,2,6421
Thr,2,6425
Thr,2,6426
Thr,2,6429
Thr,3,5133
Thr,3,5134
Thr,3,5136
Thr,3,5137
Thr,3,5138
Thr,3,5233
Thr,3,5235
Thr,3,5333
Thr,3,5334
Thr,3,5335
Thr,3,5336
Thr,3,6209
Thr,3,6210
Thr,3,6301
Thr,3,6302
Thr,3,6309
Thr,3,6310
Thr,3,6317
Thr,3,6325
Thr,3,6326
Thr,3,6402
Thr,3,6405
Thr,3,6409
Thr,3,6410
Thr,3,6413
Thr,3,6418
Thr,3,6425
Thr,3,6429
Thr,4,5138
Thr,4,5335
Thr,4,5533
Thr,4,6129
Thr,4,6209
Thr,4,6301
Thr,4,6302
Thr,4,6309
Thr,4,6310
Thr,4,6318
Thr,4,6325
Thr,4,6402
Thr,4,6405
Thr,4,6409
Thr,4,6410
Thr,4,6413
Thr,4,6418
Thr,4,6421
Thr,4,6425
Thr,4,6426
Thr,4,6429
Thr,5,5233
Thr,5,5235
Thr,5,6301
Thr,5,6318
Thr,5,6413
Thr,5,6421
Thr,5,6429
Fri,1,5135
Fri,1,5233
Fri,1,5234
Fri,1,5335
Fri,1,5533
Fri,1,5534
Fri,1,6209
Fri,1,6210
Fri,1,6302
Fri,1,6309
Fri,1,6310
Fri,1,6317
Fri,1,6318
Fri,1,6401
Fri,1,6417
Fri,1,6418
Fri,1,6426
Fri,2,5133
Fri,2,5134
Fri,2,5135
Fri,2,5136
Fri,2,5137
Fri,2,5138
Fri,2,5233
Fri,2,5234
Fri,2,5235
Fri,2,5236
Fri,2,5333
Fri,2,5334
Fri,2,5335
Fri,2,5336
Fri,2,5533
Fri,2,6209
Fri,2,6210
Fri,2,6302
Fri,2,6309
Fri,2,6310
Fri,2,6317
Fri,2,6318
Fri,2,6401
Fri,2,6413
Fri,2,6417
Fri,2,6418
Fri,2,6426
Fri,3,5133
Fri,3,5134
Fri,3,5135
Fri,3,5136
Fri,3,5137
Fri,3,5138
Fri,3,5205
Fri,3,5225
Fri,3,5234
Fri,3,5235
Fri,3,5236
Fri,3,5333
Fri,3,6209
Fri,3,6210
Fri,3,6301
Fri,3,6302
Fri,3,6309
Fri,3,6317
